sortimento;layout;conforto;preço;reposição;desconto;limpeza;atendimento
5,78;6,06;6,07;4,45;4,6;6,05;5,17;1,17
6,27;6,82;6,25;4,58;4,82;6,22;5,9;1,02
6,04;6,12;6,55;4,08;5,07;5,3;5,56;0,73
5,42;5,14;6,23;3,69;4,8;5,21;5,33;0,58
5,89;6,34;5,97;4,31;4,54;5,65;5,8;1,02
5,66;5,64;5,97;3,71;4,77;5,04;5,05;0,29
6;6,46;6,3;4,65;4,63;6,06;6,21;1,61
5,48;5,52;5,95;3,99;4,54;5,37;5,12;1,17
5,79;5,97;6,03;4,36;4,72;6;5,27;1,61
5,83;6,21;5,89;4,11;4,54;5,49;5,65;0,73
5,67;5,61;6,05;3,6;4,84;4,61;5,79;1,61
5,74;6;6,08;4,02;4,59;5,07;5,82;1,61
5,77;6,1;6,27;4,38;4,53;5,89;5,72;1,75
5,85;6,26;5,93;4,36;4,54;6,06;5,09;0,29
5,62;5,07;6,24;3,1;5,27;4,25;5,3;1,31
5,87;6,25;5,99;4,15;4,59;5,38;5,76;2,34
5,33;5,13;6,07;3,97;4,62;5,92;5,62;0,29
5,59;5,78;6,28;4,22;4,5;5,78;5,73;0,43
5,63;5,82;6,14;4,27;4,55;5,89;5,41;0,58
6,59;7,36;6,73;4,91;4,92;6,19;5,76;2,34
5,64;5,79;6,1;4,37;4,59;5,72;5,25;1,75
5,68;5,81;6,19;4,32;4,66;5,63;5,21;3,07
5,26;4,97;6,06;4,05;4,66;5,94;5,28;3,36
5,6;5,65;6,04;4,15;4,65;5,89;5,75;1,17
6,42;7,16;6,69;5,21;4,77;6,88;6,41;1,31
5,91;6,24;6,02;4,17;4,67;5,32;5,59;1,61
6,48;6,99;6,39;4,64;5,06;6,63;6,29;3,36
6,54;6,72;6,57;3,91;5,46;5,61;5,77;1,46
5,91;6,36;6;4,26;4,56;5,34;5,32;0,87
6,18;6,82;6,19;4,08;4,64;5,23;6,09;0,29
5,98;6,54;5,87;4,24;4,53;5,81;5,3;1,17
5,76;6,11;6,25;4,86;4,51;6,67;5,63;0,58
5,15;4,83;5,97;3,64;4,58;5,36;5,87;0,29
5,46;5,51;5,96;4,17;4,52;5,43;5,73;0,29
5,77;6,1;5,96;4,65;4,55;6,23;5,73;1,75
5,8;5,52;6,45;3,59;5,18;4,78;6,32;1,17
6,01;6,6;5,91;4,81;4,53;6,63;5,44;1,31
5,49;5,41;6,36;4,65;4,68;6,46;5,91;3,66
6,23;6,97;6,27;4,65;4,59;6,65;5,55;0,43
5,19;4,9;5,99;4,04;4,59;5,24;5,03;1,17
5,84;6,28;5,86;4,76;4,5;6,43;5,28;1,17
5,71;5,68;6,45;4,52;4,85;6,32;6,06;1,9
5,78;6,17;5,92;4,43;4,49;5,7;5,42;0,29
6,95;8,19;7,72;5,85;4,81;7,24;7,2;1,17
5,78;5,78;6,19;3,71;4,89;5,29;6,01;0,73
5,24;5,05;6;4,11;4,53;5,5;5,09;1,75
6,09;6,68;6,05;4,53;4,59;6,35;6,01;0,73
6,66;7,11;6,42;4,18;5,31;5,5;6,3;0,73
5,77;5,9;6,12;3,99;4,75;5,78;6,06;1,46
7,4;8,74;8,03;5,72;5,16;6,8;7,2;3,51
6,08;6,7;5,95;4,47;4,56;6,29;5,7;1,46
5,98;6,58;5,91;4,19;4,49;5,36;5,73;1,17
5,5;5,46;6,02;4;4,65;5,11;5,84;4,24
6,53;6,98;7,38;5;5,19;6,17;7,07;4,1
6,38;6,54;7,08;3,89;5,33;5,25;6,35;1,02
5,32;5,2;5,99;4,04;4,53;5,7;5,13;0,58
6,62;7,08;6,48;4,23;5,26;5,95;6,3;1,46
5,64;5,72;5,92;4,09;4,66;5,38;5,28;1,17
5,3;5,19;5,97;4,24;4,51;5,96;5,39;0,73
5,31;5,07;6,19;3,91;4,65;4,93;5,36;0,73
5,94;6,17;6,99;4,53;4,81;5,9;6,62;1,75
5,71;6,05;5,86;4,25;4,48;5,84;5,69;2,63
5,87;6,35;5,86;4,75;4,49;6,62;5,75;1,61
5,12;4,77;5,93;3,72;4,58;5,46;5,03;0,29
5,39;5,35;6,21;4,21;4,52;5,51;6,09;0,73
5,6;5,81;6,02;4,58;4,49;6,29;5,62;1,9
5,39;5,3;6,34;4,25;4,57;6,1;6,27;0,87
5,48;5,15;6,09;3,56;4,91;4,74;5,18;1,9
5,31;5,15;5,98;4,03;4,56;5,54;5,3;1,75
6,68;5,94;6,96;2,76;6,51;4,19;6,37;3,22
6,05;6,4;6,3;4,58;4,81;6,14;5,88;0,87
5,7;5,58;6,64;4,33;4,91;5,71;5,95;0,87
5,42;5,43;5,92;4,26;4,5;5,34;5,52;2,63
6,06;6,49;6,19;3,97;4,72;5,02;5,28;0,73
7,15;8,22;7,76;5,54;5,18;7,51;7,06;2,78
5,9;6,13;5,92;4,13;4,77;5,4;5,33;0,73
5,5;5,56;6,03;4,04;4,55;5,29;5,38;0,43
5,51;5,56;6,05;4,14;4,57;5,22;5,22;2,19
6,13;6,4;6,63;4,39;4,95;5,68;6,57;0,43
5,2;4,9;6,04;4,03;4,6;5,12;5,87;3,07
5,98;6,34;6,44;4,52;4,71;5,77;5,55;2,34
6,17;6,41;5,99;4,23;5,02;5,69;5,91;3,95
6,26;6,68;6,62;4,42;4,94;5,57;6,1;0,43
5,73;5,63;6,15;3,85;4,93;5,15;5,52;1,17
6,35;7,15;6,41;4,41;4,64;5,51;5,43;1,9
5,82;6,24;6,04;4,47;4,51;6,27;5,15;0,43
6,01;6,46;6,07;4,62;4,65;6,29;5,84;1,61
5,66;5,94;5,85;4,38;4,49;5,73;5,12;0,43
5,41;5,26;6,1;3,45;4,67;4,49;6,1;0,87
6,46;7,41;6,94;5,62;4,62;7,37;6,23;1,75
5,58;5,71;6,09;3,78;4,55;4,81;5,34;0,29
5,2;4,94;5,86;4,28;4,56;5,9;5,57;1,9
5,6;5,81;6,6;5,04;4,5;6,74;6,08;0,73
5,65;5,81;6,14;4,44;4,59;5,71;6,06;1,31
5,46;5,33;6,2;3,96;4,7;5,59;5,74;0,29
5,88;6,24;6,08;4,48;4,61;5,7;5,44;2,63
5,84;6,11;5,99;3,82;4,67;5,06;5,04;1,31
5,55;5,47;6,41;4,52;4,73;6,2;5,78;2,63
5,75;6,1;5,99;4,51;4,51;6,43;5,17;2,49
6,19;6,86;6,06;4,72;4,62;6,11;5,53;1,02
5,25;5,02;6,03;4,06;4,58;6,04;5,51;1,46
5,25;5,11;5,9;4;4,49;5,21;5,46;0,58
5,89;5,72;6,07;3,68;5,16;5,42;5,89;2,05
5,63;5,8;6;4,08;4,57;5,63;5,05;0,43
6;6,19;6,04;4,52;4,91;6,4;6;1,75
5,16;4,84;5,96;3,8;4,59;5,23;5,31;1,02
6;6,52;5,91;4,63;4,59;6,56;5,17;0,58
8,68;7,61;7,67;0,67;8,84;1,74;6,77;2,92
5,98;6,45;6,53;4,93;4,6;6,77;5,8;3,8
6,27;6,84;6,28;4,72;4,79;5,98;5,4;3,07
6,05;6,26;6,22;4,25;4,94;5,9;5,89;0,43
5,58;5,77;5,86;4,05;4,48;5,57;5,16;0,87
6,61;7,52;7,28;5,23;4,8;6,7;7,09;3,22
5,49;5,39;6,06;4,18;4,7;5,26;6,03;3,07
7,12;6,84;6,85;2,5;6,51;3,88;6,2;2,49
6,01;6,44;6,23;4,45;4,69;5,58;5,53;1,61
5,97;6,35;6,16;4,29;4,7;6,08;5,41;1,17
5,26;5,03;6,2;4,4;4,58;5,94;5,9;2,49
6,88;7,5;6,78;4,07;5,35;5,55;6,53;0,87
5,34;5,21;6;3,8;4,57;5,19;5,45;0,58
5,91;6,38;5,98;4,46;4,53;5,92;5,3;0,43
5,7;5,94;5,96;4,24;4,55;5,48;5,43;0,87
5,91;6,39;6,54;4,58;4,53;5,71;5,86;0,87
5,88;6,21;5,98;4,2;4,66;5,92;5,53;1,46
8,52;8,56;8,45;2,86;7,57;4,27;8,28;2,05
6,1;6,79;6,19;4,73;4,5;5,84;6,01;1,46
5,27;5;6,14;4,16;4,63;5,88;5,46;1,17
5,51;5,6;5,98;4,34;4,52;6,27;5,32;0,73
5,58;5,69;5,92;3,89;4,57;5,46;5,73;0,87
5,53;5,55;6,34;4,22;4,6;5,26;5,81;1,02
5,29;5,2;6,09;3,75;4,49;5,02;6,08;0,58
6,17;6,4;6,44;4,62;5,03;6,31;5,75;2,63
5,52;5,5;6,2;4,59;4,63;6,21;5,47;2,05
6,31;7,15;6,37;4,47;4,56;5,7;5,53;0,58
6,05;6,32;6,11;4,31;4,89;6,31;5,67;3,07
5,39;5,34;5,93;4,34;4,54;6,31;5,43;1,46
8,36;9,62;9,95;5,91;6,21;7,78;9,83;0,73
6,52;6,72;6,66;3,97;5,43;5,39;5,93;0,87
5,09;4,73;5,9;4;4,55;5,39;5,61;0,29
5,42;5,43;5,87;3,96;4,5;5,55;5,83;1,46
5,55;5,68;6;4,24;4,53;5,47;5,16;0,43
5,96;6,54;5,87;4,81;4,49;6,65;5,21;3,36
6,04;6,46;6,46;4,67;4,72;6,6;5,67;2,19
6,83;6,9;6,53;3,86;5,87;5,86;5,82;1,17
5,45;5,46;6,15;4,3;4,54;6,21;5,49;0,58
5,2;5,01;5,92;3,81;4,48;4,9;4,92;1,31
6,05;6,64;5,86;4,43;4,57;5,65;5,84;0,73
5,28;4,86;5,95;3,47;4,81;4,93;5,58;2,92
5,45;5,44;5,91;3,95;4,56;5,11;5,35;2,19
5,42;5,39;5,92;3,86;4,55;5,36;5,48;1,61
5,9;5,31;6,18;2,93;5,58;4,1;5,76;1,61
5,59;5,63;6,06;4,09;4,65;5,19;5,29;0,87
6,07;6,37;6,29;4,36;4,87;6,22;5,98;1,9
5,22;4,92;5,96;4,07;4,61;5,83;5,01;1,9
6,04;6,65;6;4,37;4,54;5,43;5,12;2,78
5,14;4,88;5,88;4,16;4,5;5,63;4,98;0,87
6,13;6,69;6,08;4,41;4,67;6,1;5,59;2,49
5,91;6,31;5,9;4,09;4,6;5,17;5,45;0,29
5,63;5,83;5,89;3,95;4,54;5,07;5,88;1,17
6,16;6,55;6,08;4,15;4,86;6,05;5,39;1,31
7,01;7,36;7,25;3,99;5,77;5,59;6,72;3,22
5,81;5,39;6,35;3,72;5,32;5,5;5,72;2,05
5,97;6,51;5,93;4,38;4,53;5,69;5,01;0,73
6,44;7,22;6,63;4,73;4,75;5,76;6,12;0,29
5,2;4,99;5,97;4,13;4,51;5,54;5,51;0,73
5,47;5,46;6,36;4,29;4,57;5,4;6,12;0,29
5,16;4,9;5,97;3,93;4,52;5,39;5,61;1,75
5,41;5,31;6,26;4,16;4,6;5,98;5,65;0,87
5,6;5,77;5,95;4,01;4,53;5,07;5,85;1,02
6,34;5,83;6,83;3,57;5,94;5,06;6,68;4,54
6,46;7,02;7,04;4,8;5,01;6,53;6,58;0,43
5,56;5,71;6,44;4,65;4,51;6,46;5,77;1,02
6,06;6,51;6,39;4,65;4,71;6,18;6,3;1,46
6,34;6,79;6,06;3,81;4,99;5,14;5,46;1,02
5,94;6,23;6,04;4,4;4,74;5,9;6;1,31
5,22;4,89;5,95;3,7;4,64;5,09;5,21;0,58
6,09;6,71;6,04;4,59;4,57;6;5,66;0,87
5,73;6;5,9;4,21;4,56;5,79;5,49;2,19
5,66;5,71;6,13;4,01;4,71;5,33;5,18;0,58
5,99;6,26;5,99;3,9;4,82;5,73;5,39;0,58
6;6,59;6,03;4,95;4,51;6,76;5,25;0,87
6,14;6,37;6,05;4,24;5,01;5,66;5,86;4,1
6,07;6,51;7,26;5,39;4,74;6,89;6,34;3,8
5,59;5,41;6,01;3,95;4,87;5,7;5,48;2,78
6,27;6,67;6,42;4,45;4,97;6,03;6,06;1,31
5,53;5,62;6,33;4,04;4,54;5,4;5,47;0,87
5,27;5,12;5,97;4,2;4,52;6,19;5,24;0,43
5,79;6,2;6,03;4,27;4,48;5,37;5,24;0,58
6,67;6,81;7,07;4,14;5,63;5,89;6,74;0,87
6,63;7,22;7,64;5,34;5,14;7,17;7,51;1,31
5,29;4,92;6,1;3,99;4,76;5,32;5,7;2,49
5,39;5,36;6,31;4,58;4,52;6,54;5,84;1,75
5,42;5,32;5,97;3,93;4,63;5,04;5,75;1,31
5,65;5,82;6,01;4,22;4,59;5,98;5,95;1,31
5,08;4,79;5,91;3,7;4,47;5,03;5,68;0,29
5,7;6,01;5,89;4,01;4,48;5,36;5,79;0,43
5,82;6,24;5,86;4,61;4,5;6,6;4,92;1,31
5,61;5,83;5,99;4,4;4,5;5,93;5;0,43
6,69;6,53;7,15;3,2;5,95;4,25;6,62;0,58
6,54;6,05;7,24;3,14;6,13;4,65;7,01;1,02
5,46;5,38;6,36;4,08;4,64;5,88;6,17;0,87
5,8;6,02;6,11;4,01;4,69;5,65;5,87;1,46
6,46;6,54;6,7;3,97;5,48;5,08;6,69;2,63
6,1;6,65;6,07;4,62;4,65;6,16;5,99;0,58
5,47;5,55;5,84;4,01;4,5;5,67;5,64;1,02
6,35;6,61;6,91;4,87;5,18;6,86;6,68;2,34
5,92;6,31;6,03;4,41;4,62;5,55;5,63;2,05
6,33;6,15;7,23;4,28;5,62;6,27;6,86;0,43
5,35;5;6,18;3,56;4,8;5,04;5,26;1,9
6,52;7,11;6,35;3,92;5,04;4,98;5,78;0,73
7,78;6,78;7,81;1,85;7,88;3,83;7,01;2,34
6,46;6,57;6,47;4,03;5,46;5,68;6,36;3,22
5,87;6,31;5,94;4,5;4,54;5,65;5,56;1,61
5,74;5,76;5,97;4,02;4,82;5,23;5,54;2,05
5,59;5,17;6,24;3,79;5,12;5,56;5,88;2,19
5,52;5,3;6,12;3,61;4,84;5,06;5,9;0,58
6,23;6,52;6,23;4,34;5,04;6,16;5,98;2,34
5,7;5,97;6,1;4,77;4,53;6,43;6,05;1,9
5,68;5,95;6,17;4,44;4,52;6,36;5,22;0,73
5,59;5,42;6,12;4,37;4,86;5,94;5,19;4,1
5,74;6,05;5,91;4,49;4,54;5,98;5,73;0,58
6,07;6,71;5,92;4,38;4,53;5,6;5,58;0,29
5,07;4,74;5,93;3,74;4,5;4,82;5,45;0,58
6,08;6,22;6,45;4,2;5,04;5,42;5,62;3,66
8,76;8,79;9,35;3,66;7,83;4,94;9,09;4,1
5,2;4,98;6,03;4,32;4,52;6,13;5,28;0,43
6,68;7,57;7,35;5,08;4,89;6,44;6,9;1,75
5,18;4,92;5,93;3,98;4,53;5,97;4,93;0,29
5,81;6,04;6,28;4,42;4,68;6,3;6,16;1,02
6,02;6,54;6,04;4,24;4,6;5,27;5,76;0,73
6,01;6,58;6,24;5,04;4,55;6,92;5,55;0,73
5,98;6,51;5,99;4,16;4,56;5,57;5,79;0,29
5,67;5,77;6,57;4,41;4,68;5,74;6,18;2,63
5,93;6,42;6,23;4,82;4,54;6,58;5,61;0,58
5,68;5,91;6,14;4,11;4,56;5,53;5,65;1,02
6,01;5,67;6,59;3,57;5,44;4,99;5,81;2,63
5,91;6,26;6,08;4,29;4,66;5,48;5,27;0,73
5,93;6,33;6,08;4,28;4,64;5,55;6,04;0,73
5,55;5,71;6;4,13;4,48;5,58;5,76;0,58
6,78;7,43;6,79;4,48;5,24;6,4;6,17;2,78
5,27;5,04;5,97;3,93;4,59;5,02;5,75;1,75
5,9;6,36;5,99;4,16;4,54;5,47;5,36;1,46
6,18;5,7;6,72;3,36;5,77;4,68;6,06;2,19
5,85;5,92;6,04;4,25;4,89;5,83;5,83;2,63
5,8;6,14;5,86;4,58;4,57;6,42;5,81;4,83
7,09;8,32;8,97;6,38;4,96;7,77;8,96;2,19
6,14;5,7;6,5;3,36;5,68;5,17;5,72;2,34
5,36;5,09;6,01;4,01;4,72;5,77;5,22;1,61
6,18;6,36;6,46;4,12;5,09;5,41;6,04;1,61
6,67;7,66;7,31;5,31;4,78;7,29;6,34;1,02
5,62;5,77;6,27;4,36;4,58;5,77;5,91;0,58
6,18;6,02;6,22;3,07;5,43;4,61;5,84;0,29
6,44;7,13;6,61;4,9;4,85;6,52;6,15;1,9
7,19;8,35;7,61;5,71;5,14;7,05;7,47;3,66
6,11;6,67;6,22;5,01;4,65;6,61;5,73;3,07
6,03;6,5;6,21;4,7;4,66;6,15;5,76;0,73
5,62;5,54;6,51;4,31;4,79;6,19;5,63;1,02
5,6;5,75;6,41;4,37;4,55;5,61;6,22;3,95
5,13;4,86;5,93;3,64;4,49;4,85;5,24;0,58
5,69;5,89;6,11;4,46;4,59;6,01;5,36;0,87
5,89;5,95;6,2;4,08;4,93;5,48;5,44;0,43
6,22;6,75;6,33;4,53;4,79;6,44;5,8;1,31
5,48;5,46;5,91;4,53;4,59;6,43;5,8;1,61
5,54;5,56;5,99;4,31;4,62;6,18;5;1,61
6,29;6,42;6,86;3,91;5,26;5,15;5,86;1,61
5,32;5,27;5,97;3,95;4,48;5,33;4,98;3,07
5,61;5,84;5,96;4,62;4,49;6,55;5,18;3,51
5,11;4,79;5,91;3,59;4,52;4,76;5,06;0,29
5,93;6,34;5,99;3,82;4,62;4,86;5,18;1,17
5,69;5,7;5,93;3,98;4,78;5,14;5,19;3,51
5,67;5,88;6,44;4,66;4,56;5,9;6,44;1,61
5,49;5,47;6,12;4,31;4,61;5,96;5,74;1,75
7,58;8,88;8,14;5,54;5,38;6,61;7,74;2,34
6,16;6,55;6,22;3,98;4,87;5,23;5,38;0,73
5,43;5,13;6,13;3,68;4,83;4,74;5,87;1,75
6,71;7,25;6,61;4,39;5,27;5,86;5,69;0,29
5,27;5,12;5,86;3,98;4,53;5,11;5,63;1,31
6,17;6,58;6,54;4,42;4,85;5,5;5,59;1,02
6,47;7,21;6,55;5,03;4,82;6,36;6,54;3,66
5,64;5,74;6,05;4,2;4,65;5,37;5,65;0,29
6,01;6,34;6,17;4,69;4,78;6,59;5,91;1,61
6,65;7,33;7,48;5,08;5,08;6,51;6,71;1,61
5,57;5,59;6,39;4,17;4,66;6,03;6,19;0,73
5,26;5,02;6,21;4,17;4,61;5,3;5,96;3,8
5,9;6,18;6,74;4,57;4,72;5,8;6,17;1,46
7,77;9,11;8,54;5,33;5,53;6,45;7,65;1,9
5,65;5,88;5,89;4,47;4,53;6,45;5,63;0,87
6,02;6,51;6,2;4,52;4,64;6,04;5,5;0,43
6,38;6,22;6,73;3,63;5,65;5,41;6,13;0,73
5,83;6,19;6,36;4,69;4,57;6,51;5,83;3,66
5,72;5,86;6,12;4,52;4,68;6,44;5,65;3,36
5,39;5,33;6;4,1;4,55;5,8;5,46;0,43
5,93;6,47;5,91;4,4;4,5;6,02;5,78;0,29
6,86;6,78;7,45;3,63;6,04;4,63;7,09;2,78
6,23;6;6,34;3,35;5,55;4,6;6,06;2,92
5,61;5,84;5,95;4,77;4,48;6,75;5,73;0,87
6,08;6,48;5,94;4,21;4,77;5,99;4,97;2,05
5,78;6,06;6,44;4,46;4,61;6,13;6,36;1,9
5,74;6,05;5,89;4,81;4,53;6,76;5,04;1,46
6,63;6,43;6,52;2,67;5,94;3,73;5,83;0,58
5,63;5,69;6,26;4,02;4,66;5,06;5,51;2,92
5,5;5,64;5,93;4,41;4,47;5,54;5,4;4,1
6,61;7,27;6,69;4,5;5,05;5,88;6,58;0,87
5,62;5,57;6,1;3,76;4,77;5,35;5,93;0,29
6,54;7,59;7,64;5,53;4,59;6,92;7,58;0,58
5,22;5,06;6,08;4,57;4,49;6,53;6,05;1,02
6,15;5,8;5,96;3,17;5,59;4,69;5,36;0,29
5,35;5,29;6,02;4,15;4,52;5,76;5,88;0,29
5,89;6,3;5,89;4,64;4,59;6,41;5,71;0,29
5,48;5,54;6,67;4,22;4,53;5,38;5,87;0,87
5,77;6,15;6,17;4,73;4,5;6,67;5,19;2,78
5,23;4,91;5,96;4,07;4,65;5,61;4,97;1,61
5,24;5,06;5,98;3,58;4,51;4,77;5,19;0,87
5,55;5,32;6,13;3,63;4,89;5,53;5,86;0,43
6,69;6,46;7,51;3,78;6,03;5,48;6,6;2,34
6,35;6,72;6,32;4,02;5,07;5,65;5,7;0,43
5,83;6,14;5,97;4,17;4,62;5,83;5,78;0,58
6,13;6,8;6,18;4,64;4,55;5,73;5,41;0,87
6,77;7,65;6,88;4,74;4,99;6,61;6,76;0,29
6,11;5,79;5,96;3,26;5,52;5,19;5,52;0,43
5,72;6;6,07;4,12;4,55;5,17;5,48;0,29
6,15;6,91;6,19;4,54;4,49;6,07;5,38;0,58
6,05;6,69;6,14;4,53;4,52;6,12;6,12;2,63
5,66;5,93;6,25;4,52;4,5;6,34;5,42;0,43
5,42;4,92;6,07;3,43;5,02;4,68;5,99;0,29
5,84;6,09;6,03;4,26;4,69;5,9;5,75;1,75
5,48;5,12;6,1;3,72;4,94;5,53;5,72;2,78
6,72;6,67;6,6;3,2;5,87;4,96;6,35;2,05
6,3;6,7;6,58;4,28;5,01;5,9;5,77;1,02
6,42;6,96;7,05;4,73;4,98;6,13;6,29;1,46
6,11;6,42;6,23;4,19;4,89;5,57;6,12;0,73
5,99;6,47;6,03;4,51;4,61;6,12;5,25;0,87
6,27;6,86;6,37;4,66;4,78;5,66;6,32;2,34
6,14;6,57;6,24;4,53;4,81;5,68;5,8;3,66
6,61;7,47;6,95;5,43;4,84;7;6,87;2,49
6,17;6,86;6,24;4,68;4,59;6,43;5,26;0,29
5,37;5,04;6,21;3,71;4,81;5,01;5,34;2,49
6,24;6,9;6,17;4,46;4,69;5,86;6,15;2,49
5,98;6,56;6,04;4,8;4,5;6,28;5,71;0,73
5,72;5,8;6,02;4,15;4,74;5,45;5,75;0,73
6,02;5,69;6,61;3,68;5,46;4,75;6,21;2,78
5,7;6;6,01;4,28;4,51;5,45;5,95;0,43
